funder,title,role,amount,start,end,status
Curriculum Associates,"Methods for Normative and Criterion-Referenced Interpretations of i-Ready Growth",PI,907230,2020-01-01,2024-12-31,Closed
National Science Foundation,"Transforming the Education and Training of Interdisciplinary Data Scientists (TETRIDS)",Co-PI,500000,2020-07-01,2023-06-30,Closed
Spencer Foundation,"Aspire Research-Practice Partnership: Research Infrastructure for Longitudinal Tracking of Student Science Learning",Co-PI,84466,2017-12-01,2020-11-30,Closed
National Science Foundation,"From Teacher Task Design to Generalizable Study of Student Learning: A Comprehensive Study of Learning Progression Use",Co-PI,461159,2016-05-01,2019-04-30,Closed
Keck Foundation,"Evaluating the Validity and Instructional Sensitivity of Concept Inventories",PI,300000,2015-08-01,2017-07-31,Closed
Institute for Education Sciences,"National Center for Research on Policy and Practice",Co-PI,714404,2014-07-01,2015-06-30,Closed
Denver Public Schools,"Evaluation of Teacher Professional Compensation Program (ProComp)",PI,123160,2014-09-01,2015-07-31,Closed
Denver Public Schools,"Using Learning Trajectories to Measure Growth for Student Learning Outcomes",PI,128562,2014-09-01,2015-06-30,Closed
Denver Public Schools,"Using Learning Trajectories to Measure Growth for Student Learning Outcomes",PI,147980,2013-09-01,2014-06-30,Closed
Denver Public Schools,"Evaluation of Teacher Professional Compensation Program (ProComp)",PI,128241,2013-01-15,2014-02-28,Closed
Pearson,"Application of a Diagnostic Classification Model to Learning Progressions in Science",PI,43513,2013-02-01,2014-01-31,Closed
Denver Public Schools,"Student Outcomes Analysis in Support of Educator Effectiveness Evaluation",PI,65028,2012-06-01,2013-05-31,Closed
University of Colorado Continuing Education,"An Evaluation of CU's Online Summer Session Courses",PI,23000,2012-06-01,2013-01-31,Closed
Institute of Education Sciences,"An Exploration of Novice Teachers' Core Competencies: Impacts on Student Achievement, and Effectiveness of Preparation",Co-PI,987152,2012-03-01,2015-02-28,Closed
Colorado Department of Higher Education,"Analysis of Educator Preparation and K-12 Placement in Colorado",PI,15000,2012-01-01,2012-06-30,Closed
The Carnegie Corporation,"Multidimensional Growth Modeling: Estimating Value-Added School Effects with a Multidimensional Vertical Scale",PI,300000,2009-01-01,2011-12-31,Closed
American Educational Research Association,"The Effectiveness of Admissions Test Preparation: New Evidence From ELS:2002",PI,20000,2008-01-01,2008-12-31,Closed
National Science Foundation,"Undergraduate Science Course Innovations and Their Impact on Student Learning",PI,121000,2007-01-01,2008-01-31,Closed
National Science Foundation,"Learning Assistant Model for Teacher Education in Science and Technology",Co-PI,2500000,2006-09-01,2011-09-30,Closed
The Carnegie Corporation,"Vertical Scaling in Value-Added Models for Student Learning",PI,50000,2005-08-01,2006-08-31,Closed
University of Colorado,"Junior Faculty Development Grant: Vertical Scaling in Value-Added Models for Student Learning",PI,4000,2006-07-01,2006-08-31,Closed
